alive_but_infected_count_
441
502
533
593
1458
1747
2078
2377
2917
3710
4649
5765
7615
9248
10598
12311
13496
15175
16464
17358
30035
32952
34256
35304
36336
37118
37875
37844
37381
36594
36156
35670
34660
33530
32248
30179
28752
27351
25739
24106
22368
20951
20049
18986
17565
16572
15586
14438
13460
12358
11084
9901
9102
8304
7442
6743
6116
5609
5142
4700
4268
3793
3407
2880
2517
2040
1721
1456
1279
1128
983
830
644
574
515
445
398
348
319
302
243
218
179
146
129
122
109
105
102
97
69
47
23
12
0
1
6
7
6
5
4
3
0
